sites_ID;Class;Order;Family;Subfamily;Tribe;Genus;Species;Species Authors;;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Carminda;Carminda_griseldis;(Weymer, 1911);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Praepedaliodes;Praepedaliodes_phanias;(Hewitson, 1862);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Eteona;Eteona_tisiphone;(Boisduval, 1836);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophon;(Linnaeus, 1758);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophoon;(H�bner, [1814]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;(Fabricius, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_meander;(Cramer, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;(H�bner, [1823]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Prepona;Prepona_laertes;(H�bner, [1811]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Prepona;Prepona_pylene;Hewitson, [1854];;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Consul;Consul_fabius;(Cramer, 1776);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;(Gmelin, [1790]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Siderone;Siderone_galanthis;(Cramer, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Hypna;Hypna_clytemnestra;(Cramer, 1777);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Fountainea;Fountainea_ryphea;(Cramer, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_arginussa;(Geyer, 1832);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_appias;(H�bner, [1825]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_polyxo;(H. Druce, 1874);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_philumena;(E. Doubleday, [1849]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_acidalia;(H�bner, [1819]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_moruus;(Fabricius, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_otrere;(H�bner, [1825]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Biblidini;Mestra;Mestra_hersilia;(Fabricius, 1776);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Biblidini;Biblis;Biblis_hyperia;(Cramer, 1779);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Catonephelini;Cybdelis;Cybdelis_phaesyla;(H�bner, [1831]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_postverta;(Cramer, 1779);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_tithia;(H�bner, 1823);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_artemisia;(Fabricius, 1793);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_aerata;(A. Butler, 1877);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_agacles;(Dalman, 1823);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_myrrhina;(E. Doubleday, 1849);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_coenus;(Fabricius, 1793);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_athemon;(Linnaeus, 1758);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Catonephelini;Myscelia;Myscelia_orsis;(Drury, 1782);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Catonephelini;Catonephele;Catonephele_numilia;(Cramer, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Catonephelini;Catonephele;Catonephele_sabrina;(Hewitson, 1852);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Ectima;Ectima_thecla;(Fabricius, 1796);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_arete;(E. Doubleday, 1847);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_amphinome;(Linnaeus, 1767);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_fornax;(H�bner, [1823]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_epinome;(C. Felder & R. Felder, 1867);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_februa;(H�bner, [1823]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_iphthime;(H. Bates, 1864);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_feronia;(Linnaeus, 1758);;;;;;;
