sites_ID;Country;State;Municipality;Study Location;Latitude;Longitude;Precision;Reserve_Area;Altitude;Altitude1km;A_mean_temp;A_rainfall;Olsong200r;Olsoneconame;Ribeirovegtype;BSRs
bor1017;Brazil;SANTA CATARINA;CURITIBANOS;Curitibanos;-27.269972;-50.660883;30;NA;900;914;15.36;1632;Atlantic Forests;Araucaria moist forests;Floresta Ombrofila Mista;Florestas de Araucaria
bor1018;Brazil;RIO DE JANEIRO;ITATIAIA;Paque Nacional do Itatiaia;-22.375278;-44.662222;9000;28086.06751;2000-2600;2534;9.39;2300;Atlantic Forests;Campos Rupestres montane savanna;Floresta Ombrofila Densa;Florestas de Interior
bor1019;Brazil;RIO DE JANEIRO;GUAPIMIRIM;Guapimirim;-22.49305556;-42.94916667;30;NA;50-250;305;22;1441;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1020;Brazil;RIO DE JANEIRO;CACHOEIRAS DE MACACU;Reserva Ecologica de Guapiacu;-22.45388889;-42.77166667;30;7.385;30-180;120;22.85;1284;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1021;Brazil;RIO DE JANEIRO;CACHOEIRAS DE MACACU;Boca do Mato;-22.40583333;-42.60694444;30;NA;200-450;488;20.28;1277;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1022;Brazil;RIO DE JANEIRO;PETROPOLIS;Independencia and Alto Xerem and Petropolis;-22.54416667;-43.20472222;30;NA;900-1000;592;18.38;1867;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1023;Brazil;RIO DE JANEIRO;TERESOPOLIS;Teresopolis and Parque Nacional da Serra dos Orgaos;-22.455;-43.00055556;30;10.653;950-1800;1079;15.53;1745;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1024;Brazil;RIO DE JANEIRO;NOVA FRIBURGO;Nova Friburgo;-22.28;-42.51361111;1200;NA;850-1300;916;17.17;1412;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1025;Brazil;RIO DE JANEIRO;TERESOPOLIS;Santa Dalila km 27;-22.64722222;-43.09055556;30;NA;50-100;19;22.85;1445;Atlantic Forests;Serra do Mar coastal forests;NA;NA
bor1026;Brazil;RIO DE JANEIRO;RIO DE JANEIRO;Tijuca and Sumare and Paineiras;-22.94611111;-43.22916667;Not Precise;NA;300-600;282;20.45;1372;Atlantic Forests;Serra do Mar coastal forests;NA;NA
bor1027;Brazil;RIO DE JANEIRO;XEREM;Xerem;-22.54694444;-43.30111111;30;NA;50-200;270;21.33;1929;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1028;Brazil;RIO DE JANEIRO;BARRA DO SAO JOAO;Barra do Sao Joao;-22.54361111;-42.01416667;30;NA;10-500;105;22.83;1205;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1029;Brazil;RIO DE JANEIRO;SILVA JARDIM;Reserva Biologica de Poco das Antas;-22.52416667;-42.26666667;30;5052.48041;out/50;63;22.78;1165;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1030;Brazil;RIO DE JANEIRO;CASIMIRO DE ABREU;Casimiro de Abreu;-22.43972222;-42.06694444;30;NA;20-100;144;22.33;1197;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1031;Brazil;ESPIRITO SANTO;CONCEICAO DA BARRA;Cobraice and Conceicao da Barra;-18.43666667;-39.94888889;30;NA;30-60;42;24.04;1290;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
bor1032;Brazil;ESPIRITO SANTO;SANTA TERESA;Pasolini and Santa Lucia;-19.92916667;-40.565;120;NA;700-900;690;19.27;1326;Atlantic Forests;Bahia coastal forests;Floresta Ombrofila Densa;Bahia
